Name,LoreID,Biome,ArenaTag,Scope,RequiredLoreIDs,ChatScriptedSequenceID,VoiceLineID,Priority,DesignerNotes
lore_isl_001,villain_manifesto_west_dying,Islands,,Biome,,lore_isl_manifesto_west,lore_isl_manifesto_west,10,"80-page manifesto on Western decline; Karp/Thiel-flavor sincere ideology"
lore_isl_002,villain_speech_drafts_marginalia,Islands,,Biome,,lore_isl_speech_drafts,lore_isl_speech_drafts,5,"Public speeches with private cut-it-they-cant-handle margins"
lore_isl_003,villain_israel_admiration,Islands,,Biome,,lore_isl_israel_admiration,lore_isl_israel_admiration,8,"ISRAEL CONNECTION: Personal journal admiring Israeli decisiveness/willingness to defend"
lore_isl_004,villain_oath_burden,Islands,,Biome,,lore_isl_oath_burden,lore_isl_oath_burden,5,"Self-written daily oath about his burden of vision"
lore_isl_005,villain_video_uploaded_self,Islands,,Biome,,lore_isl_video_uploaded,lore_isl_video_uploaded,5,"Video recording to his future uploaded consciousness"
lore_isl_006,villain_reading_list,Islands,,Biome,,lore_isl_reading_list,lore_isl_reading_list,3,"Nightstand books mixing real philosophy with made-up titles"
lore_isl_007,villain_wellness_staff_log,Islands,,Biome,,lore_isl_wellness_staff,lore_isl_wellness_staff,10,"Hire registry of wellness assistants — 12 young hires single NDA template"
lore_isl_008,villain_guest_logs_redacted,Islands,,Biome,,lore_isl_guest_logs,lore_isl_guest_logs,10,"Visitor logs with names redacted; ages/origins visible; thematic setup for finale"
lore_isl_009,villain_photo_archive_locked,Islands,,Biome,,lore_isl_photo_archive,lore_isl_photo_archive,5,"Encrypted photo folder with damning metadata"
lore_isl_010,villain_nda_payouts_pattern,Islands,,Biome,,lore_isl_nda_payouts,lore_isl_nda_payouts,5,"2.4M settlements paid 14 times over 6 years through shell"
lore_isl_011,villain_underground_chambers,Islands,,Biome,,lore_isl_chambers,lore_isl_chambers,5,"Architectural plans showing 3 levels under the temple"
lore_isl_012,villain_dvd_collection_unmarked,Islands,,Biome,,lore_isl_dvds,lore_isl_dvds,3,"100+ DVDs labeled only with dates 2014-2023"
lore_isl_013,villain_recruiter_emails,Islands,,Biome,,lore_isl_recruiter,lore_isl_recruiter,3,"Talent scout emails with suspicious requirements (parental NDA precleared)"
lore_isl_014,villain_jet_logs_minors_coded,Islands,,Biome,,lore_isl_jet_logs,lore_isl_jet_logs,5,"Private jet manifests with M-coded passengers and asymmetric return codes"
lore_isl_015,villain_cost_benefit_847,Islands,,Biome,villain_oath_burden,lore_isl_cost_benefit,lore_isl_cost_benefit,10,"Spreadsheet — 847 lives regret necessary proceed; prereq=oath for ideology-vs-reality irony"
lore_isl_016,villain_surveillance_journalists,Islands,,Biome,,lore_isl_surveillance,lore_isl_surveillance,5,"Surveillance target list with mitigation status column (discredited/relocated/closed)"
lore_isl_017,villain_kill_list_threats,Islands,,Biome,,lore_isl_kill_list,lore_isl_kill_list,5,"Ranked threats by civilizational risk; neutralization budget per rank"
lore_isl_018,villain_lab_subjects_cpt,Islands,,Biome,,lore_isl_lab_subjects,lore_isl_lab_subjects,5,"CPT-tech human subject testing — origin of polarity tech is built on bodies"
lore_isl_019,villain_silenced_witnesses,Islands,,Biome,,lore_isl_silenced,lore_isl_silenced,3,"12 names — all accidents within 4 months of scheduled testimony"
lore_isl_020,villain_israel_arms_contracts,Islands,,Biome,,lore_isl_israel_arms,lore_isl_israel_arms,8,"ISRAEL CONNECTION: Surveillance-tech export contracts to Tel Aviv firms (NSO-style)"
lore_isl_021,villain_morning_protocol,Islands,,Biome,villain_manifesto_west_dying,lore_isl_morning_protocol,lore_isl_morning_protocol,10,"Plasma rotation morning ritual; prereq=manifesto for ideology-degeneracy contrast"
lore_isl_022,villain_phobia_notes,Islands,,Biome,,lore_isl_phobia,lore_isl_phobia,3,"Therapist notes leaked — phobias include fear of being misremembered"
lore_isl_023,villain_dna_backup_seven_sites,Islands,,Biome,,lore_isl_dna_backup,lore_isl_dna_backup,3,"DNA stored in 7 facilities including one next to Svalbard seed vault"
lore_isl_024,villain_pre_upload_rituals,Islands,,Biome,,lore_isl_pre_upload,lore_isl_pre_upload,3,"Ritual prep for mind-upload trials — sandalwood Bach written affirmation"
lore_isl_025,villain_yacht_fleet_greek,Islands,,Biome,,lore_isl_yacht_fleet,lore_isl_yacht_fleet,3,"5 yachts named Ataraxia Nous Logos Telos Eudaimonia"
lore_isl_026,villain_capybara_security,Islands,,Biome,,lore_isl_capybara,lore_isl_capybara,3,"Chavez the capybara has 214K security/medical/sommelier budget"
lore_isl_027,villain_tel_aviv_residence,Islands,,Biome,,lore_isl_tel_aviv,lore_isl_tel_aviv,5,"ISRAEL CONNECTION: 4-floor Tel Aviv penthouse 87 days residency last year"
lore_isl_028,villain_mom_missed_calls,Islands,,Biome,,lore_isl_mom_calls,lore_isl_mom_calls,3,"247 unanswered calls from his mother over 3 years"
lore_isl_029,villain_therapist_paid_silence,Islands,,Biome,,lore_isl_therapist,lore_isl_therapist,3,"Therapist NDA + paid quarterly statements certifying he's stable"
lore_isl_030,villain_diary_dreamt_wrong,Islands,,Biome,,lore_isl_diary,lore_isl_diary,3,"Single diary entry — dreamt I was wrong woke up disappointed"
